vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
VOLVO,XC40 T5,SUV,4x4,1969.0,AUTOMATICA,NAFTA,EURO VI d,205.0,12.4,7.7,9.1
SHINERAY,X7,Rural,4x2,1794.0,MANUAL,NAFTA,EURO V,207.0,11.7,6.9,8.7
MERCEDES-BENZ,E 220 d 4MATIC ALL TERRAIN,4 Puertas,4x4,1950.0,AUTOMATICA,GAS OIL,EURO VI b,140.0,6.0,5.0,5.3
VOLKSWAGEN,TIGUAN  TIGUAN LWB,SUV,4x4,1968.0,AUTOMATICA,GAS OIL,EURO V,152.0,8.4,5.9,6.8
JAC,X200,Camion,4x2,1999.0,MANUAL,GAS OIL,EURO V,266.0,8.3,12.95,10.02
MERCEDES-BENZ,A 200,Rural,4x2,1333.0,AUTOMATICA,NAFTA,EURO VI b,133.0,7.3,5.0,5.8
CHANGAN,CS75,Rural,4x2,1798.0,AUTOMATICA,NAFTA,EURO V,186.0,11.4,5.6,7.7
BMW,X3 sDrive 20i,Rural,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI d,169.0,8.8,6.6,7.4
BMW,X3 xDrive 20i,Rural,4x4,1998.0,AUTOMATICA,NAFTA,EURO VI d,173.0,8.9,6.8,7.6
FIAT,UNO DRIVE 1.3 GSE,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO V,146.42,8.05,5.34,6.34
FIAT,UNO SPORTING 1.3 GSE,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO V,146.42,8.05,5.34,6.34
FIAT,UNO WAY 1.3 GSE,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO V,146.42,8.05,5.34,6.34
LAND ROVER,RANGE ROVER SPORT,Rural,4x4,2993.0,AUTOMATICA,GAS OIL,EURO VI b,185.0,7.9,6.4,7.0
LAND ROVER,RANGE ROVER SPORT,Rural,4x4,2995.0,AUTOMATICA,NAFTA,EURO V,258.0,14.9,8.4,10.8
DS,DS 7 CROSSBACK,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,169.0,9.9,6.0,7.4
LIFAN,MYWAY X7,5 Puertas,4x2,1794.0,AUTOMATICA,NAFTA,EURO V,198.0,10.99,7.04,8.5
LAND ROVER,RANGE ROVER SPORT,Rural,4x4,4999.0,AUTOMATICA,NAFTA,EURO VI b,310.0,19.8,10.0,13.6
